,importance,feature
154,0.063,L2_multivalent
62,0.028,H3_charged_charged
78,0.026,L1_polar_hydrophobic
55,0.025,H3_aromatic_polar
136,0.023,L3_charged_aromatic
142,0.022,L3_hydrophobic_charged
51,0.017,H3_polar_aromatic
2,0.016,H1_polar_charged
125,0.016,L3_polar_polar
27,0.015,H2_polar_charged
30,0.014,H2_aromatic_polar
153,0.014,L1_multivalent
7,0.014,H1_aromatic_charged
81,0.014,L1_aromatic_aromatic
36,0.013,H2_charged_aromatic
97,0.013,L1_special_charged
56,0.013,H3_aromatic_aromatic
72,0.013,H3_special_charged
83,0.013,L1_aromatic_hydrophobic
37,0.012,H2_charged_charged
59,0.012,H3_aromatic_special
52,0.012,H3_polar_charged
75,0.011,L1_polar_polar
88,0.011,L1_charged_hydrophobic
33,0.011,H2_aromatic_hydrophobic
130,0.011,L3_aromatic_polar
155,0.011,L3_multivalent
57,0.011,H3_aromatic_charged
152,0.011,H3_multivalent
34,0.01,H2_aromatic_special
53,0.01,H3_polar_hydrophobic
60,0.01,H3_charged_polar
5,0.01,H1_aromatic_polar
103,0.01,L2_polar_hydrophobic
9,0.01,H1_aromatic_special
38,0.01,H2_charged_hydrophobic
107,0.01,L2_aromatic_charged
10,0.01,H1_charged_polar
106,0.009,L2_aromatic_aromatic
47,0.009,H2_special_charged
26,0.009,H2_polar_aromatic
66,0.009,H3_hydrophobic_aromatic
6,0.008,H1_aromatic_aromatic
67,0.008,H3_hydrophobic_charged
79,0.008,L1_polar_special
82,0.008,L1_aromatic_charged
150,0.008,H1_multivalent
126,0.008,L3_polar_aromatic
90,0.008,L1_hydrophobic_polar
12,0.008,H1_charged_charged
58,0.007,H3_aromatic_hydrophobic
71,0.007,H3_special_aromatic
61,0.007,H3_charged_aromatic
48,0.007,H2_special_hydrophobic
32,0.007,H2_aromatic_charged
156,0.007,num_CDRs_multivalent
132,0.007,L3_aromatic_charged
63,0.007,H3_charged_hydrophobic
54,0.007,H3_polar_special
68,0.007,H3_hydrophobic_hydrophobic
35,0.007,H2_charged_polar
45,0.006,H2_special_polar
151,0.006,H2_multivalent
127,0.006,L3_polar_charged
105,0.006,L2_aromatic_polar
25,0.006,H2_polar_polar
76,0.006,L1_polar_aromatic
74,0.006,H3_special_special
31,0.006,H2_aromatic_aromatic
8,0.006,H1_aromatic_hydrophobic
147,0.006,L3_special_charged
122,0.006,L2_special_charged
93,0.006,L1_hydrophobic_hydrophobic
133,0.005,L3_aromatic_hydrophobic
17,0.005,H1_hydrophobic_charged
80,0.005,L1_aromatic_polar
46,0.005,H2_special_aromatic
87,0.005,L1_charged_charged
102,0.005,L2_polar_charged
98,0.005,L1_special_hydrophobic
92,0.005,L1_hydrophobic_charged
95,0.005,L1_special_polar
3,0.005,H1_polar_hydrophobic
28,0.005,H2_polar_hydrophobic
42,0.005,H2_hydrophobic_charged
112,0.004,L2_charged_charged
77,0.004,L1_polar_charged
129,0.004,L3_polar_special
134,0.004,L3_aromatic_special
73,0.004,H3_special_hydrophobic
41,0.004,H2_hydrophobic_aromatic
101,0.004,L2_polar_aromatic
65,0.004,H3_hydrophobic_polar
137,0.004,L3_charged_charged
1,0.004,H1_polar_aromatic
29,0.004,H2_polar_special
131,0.003,L3_aromatic_aromatic
11,0.003,H1_charged_aromatic
128,0.003,L3_polar_hydrophobic
64,0.003,H3_charged_special
100,0.003,L2_polar_polar
135,0.003,L3_charged_polar
138,0.003,L3_charged_hydrophobic
40,0.003,H2_hydrophobic_polar
4,0.003,H1_polar_special
0,0.003,H1_polar_polar
70,0.003,H3_special_polar
145,0.002,L3_special_polar
110,0.002,L2_charged_polar
84,0.002,L1_aromatic_special
13,0.002,H1_charged_hydrophobic
86,0.002,L1_charged_aromatic
143,0.002,L3_hydrophobic_hydrophobic
50,0.002,H3_polar_polar
91,0.002,L1_hydrophobic_aromatic
69,0.002,H3_hydrophobic_special
139,0.002,L3_charged_special
108,0.001,L2_aromatic_hydrophobic
22,0.001,H1_special_charged
23,0.001,H1_special_hydrophobic
20,0.001,H1_special_polar
21,0.001,H1_special_aromatic
16,0.001,H1_hydrophobic_aromatic
140,0.001,L3_hydrophobic_polar
109,0.001,L2_aromatic_special
141,0.001,L3_hydrophobic_aromatic
85,0.001,L1_charged_polar
39,0.001,H2_charged_special
14,0.001,H1_charged_special
146,0.001,L3_special_aromatic
43,0.001,H2_hydrophobic_hydrophobic
49,0.0,H2_special_special
144,0.0,L3_hydrophobic_special
44,0.0,H2_hydrophobic_special
89,0.0,L1_charged_special
96,0.0,L1_special_aromatic
111,0.0,L2_charged_aromatic
94,0.0,L1_hydrophobic_special
114,0.0,L2_charged_special
113,0.0,L2_charged_hydrophobic
149,0.0,L3_special_special
148,0.0,L3_special_hydrophobic
18,0.0,H1_hydrophobic_hydrophobic
15,0.0,H1_hydrophobic_polar
104,0.0,L2_polar_special
116,0.0,L2_hydrophobic_aromatic
24,0.0,H1_special_special
19,0.0,H1_hydrophobic_special
99,0.0,L1_special_special
124,0.0,L2_special_special
123,0.0,L2_special_hydrophobic
121,0.0,L2_special_aromatic
120,0.0,L2_special_polar
119,0.0,L2_hydrophobic_special
118,0.0,L2_hydrophobic_hydrophobic
117,0.0,L2_hydrophobic_charged
115,0.0,L2_hydrophobic_polar
