,importance,feature
172,0.045,L2_charged_polar
167,0.035,L2_aromatic_polar
142,0.024,L1_aromatic_polar
165,0.023,L2_polar_hydrophobic
198,0.02,L3_charged_aromatic
189,0.019,L3_polar_charged
181,0.019,L2_hydrophobic_special
134,0.018,H3_special_charged
154,0.016,L1_hydrophobic_charged
107,0.015,H2_special_polar
152,0.012,L1_hydrophobic_polar
135,0.012,H3_special_hydrophobic
153,0.011,L1_hydrophobic_aromatic
126,0.01,H3_charged_special
2,0.01,epitope_total_energy
133,0.01,H3_special_aromatic
144,0.009,L1_aromatic_charged
101,0.009,H2_charged_special
146,0.009,L1_aromatic_special
173,0.008,L2_charged_aromatic
166,0.008,L2_polar_special
138,0.008,L1_polar_aromatic
182,0.008,L2_special_polar
137,0.008,L1_polar_polar
149,0.008,L1_charged_charged
58,0.008,"L3-9,10-A"
129,0.007,H3_hydrophobic_charged
5,0.007,sc_total
127,0.007,H3_hydrophobic_polar
185,0.007,L2_special_hydrophobic
157,0.007,L1_special_polar
197,0.007,L3_charged_polar
184,0.007,L2_special_charged
175,0.007,L2_charged_hydrophobic
0,0.007,epitope_num_res
125,0.007,H3_charged_hydrophobic
4,0.007,shape_similarity
191,0.007,L3_polar_special
136,0.007,H3_special_special
63,0.007,H1_polar_aromatic
140,0.007,L1_polar_hydrophobic
156,0.007,L1_hydrophobic_special
61,0.007,
151,0.007,L1_charged_special
59,0.006,L3-9-A
64,0.006,H1_polar_charged
120,0.006,H3_aromatic_hydrophobic
6,0.006,dSASA
55,0.006,L3-11-A
143,0.006,L1_aromatic_aromatic
180,0.006,L2_hydrophobic_hydrophobic
183,0.006,L2_special_aromatic
60,0.006,None
1,0.006,epitope_sasa
148,0.006,L1_charged_aromatic
164,0.006,L2_polar_charged
176,0.006,L2_charged_special
65,0.006,H1_polar_hydrophobic
73,0.006,H1_charged_aromatic
187,0.006,L3_polar_polar
130,0.006,H3_hydrophobic_hydrophobic
159,0.006,L1_special_charged
170,0.006,L2_aromatic_hydrophobic
52,0.006,"L3-10,11-A"
7,0.006,interface_dg
56,0.006,L3-5-A
71,0.005,H1_aromatic_special
128,0.005,H3_hydrophobic_aromatic
163,0.005,L2_polar_aromatic
186,0.005,L2_special_special
131,0.005,H3_hydrophobic_special
67,0.005,H1_aromatic_polar
193,0.005,L3_aromatic_aromatic
57,0.005,L3-8-A
168,0.005,L2_aromatic_aromatic
70,0.005,H1_aromatic_hydrophobic
69,0.005,H1_aromatic_charged
123,0.005,H3_charged_aromatic
66,0.005,H1_polar_special
54,0.005,L3-10-B
132,0.005,H3_special_polar
75,0.005,H1_charged_hydrophobic
122,0.005,H3_charged_polar
