,importance,feature
172,0.066,L2_multivalent
96,0.024,L1_polar_hydrophobic
80,0.022,H3_charged_charged
73,0.021,H3_aromatic_polar
160,0.019,L3_hydrophobic_charged
154,0.019,L3_charged_aromatic
110,0.019,L1_hydrophobic_charged
171,0.018,L1_multivalent
16,0.018,l2_interaction_energy
20,0.018,H1_polar_charged
5,0.017,sc_total
3,0.016,interaction_total_energy
143,0.015,L3_polar_polar
25,0.015,H1_aromatic_charged
101,0.015,L1_aromatic_hydrophobic
69,0.014,H3_polar_aromatic
9,0.014,complex_energy
48,0.013,H2_aromatic_polar
173,0.013,L3_multivalent
12,0.012,h1_interaction_energy
99,0.012,L1_aromatic_aromatic
77,0.012,H3_aromatic_special
0,0.012,epitope_num_res_relaxed
14,0.012,h3_interaction_energy
70,0.011,H3_polar_charged
45,0.011,H2_polar_charged
74,0.011,H3_aromatic_aromatic
21,0.011,H1_polar_hydrophobic
125,0.011,L2_aromatic_charged
15,0.01,l1_interaction_energy
76,0.01,H3_aromatic_hydrophobic
85,0.01,H3_hydrophobic_charged
1,0.01,epitope_sasa
124,0.009,L2_aromatic_aromatic
54,0.009,H2_charged_aromatic
100,0.009,L1_aromatic_charged
111,0.009,L1_hydrophobic_hydrophobic
65,0.008,H2_special_charged
78,0.008,H3_charged_polar
55,0.008,H2_charged_charged
6,0.008,dSASA
115,0.008,L1_special_charged
2,0.008,epitope_total_energy
75,0.008,H3_aromatic_charged
52,0.007,H2_aromatic_special
27,0.007,H1_aromatic_special
13,0.007,h2_interaction_energy
90,0.007,H3_special_charged
7,0.007,interface_dg
17,0.007,l3_interaction_energy
71,0.007,H3_polar_hydrophobic
10,0.007,Ab_score_normalized
150,0.007,L3_aromatic_charged
50,0.007,H2_aromatic_charged
51,0.007,H2_aromatic_hydrophobic
156,0.007,L3_charged_hydrophobic
145,0.007,L3_polar_charged
93,0.007,L1_polar_polar
106,0.006,L1_charged_hydrophobic
170,0.006,H3_multivalent
81,0.006,H3_charged_hydrophobic
108,0.006,L1_hydrophobic_polar
49,0.006,H2_aromatic_aromatic
44,0.006,H2_polar_aromatic
97,0.006,L1_polar_special
148,0.006,L3_aromatic_polar
118,0.006,L2_polar_polar
11,0.006,Ag_score_normalized
22,0.005,H1_polar_special
120,0.005,L2_polar_charged
168,0.005,H1_multivalent
163,0.005,L3_special_polar
64,0.005,H2_special_aromatic
56,0.005,H2_charged_hydrophobic
123,0.005,L2_aromatic_polar
28,0.005,H1_charged_polar
149,0.005,L3_aromatic_aromatic
23,0.005,H1_aromatic_polar
169,0.005,H2_multivalent
63,0.005,H2_special_polar
79,0.005,H3_charged_aromatic
155,0.005,L3_charged_charged
26,0.005,H1_aromatic_hydrophobic
60,0.004,H2_hydrophobic_charged
94,0.004,L1_polar_aromatic
8,0.004,separated_interface_energy_ratio
147,0.004,L3_polar_special
165,0.004,L3_special_charged
84,0.004,H3_hydrophobic_aromatic
88,0.004,H3_special_polar
53,0.004,H2_charged_polar
152,0.004,L3_aromatic_special
59,0.004,H2_hydrophobic_aromatic
86,0.004,H3_hydrophobic_hydrophobic
128,0.004,L2_charged_polar
43,0.003,H2_polar_polar
24,0.003,H1_aromatic_aromatic
151,0.003,L3_aromatic_hydrophobic
144,0.003,L3_polar_aromatic
98,0.003,L1_aromatic_polar
174,0.003,num_CDRs_multivalent
82,0.003,H3_charged_special
89,0.003,H3_special_aromatic
95,0.003,L1_polar_charged
18,0.003,H1_polar_polar
105,0.003,L1_charged_charged
130,0.003,L2_charged_charged
83,0.003,H3_hydrophobic_polar
102,0.003,L1_aromatic_special
113,0.002,L1_special_polar
92,0.002,H3_special_special
30,0.002,H1_charged_charged
153,0.002,L3_charged_polar
58,0.002,H2_hydrophobic_polar
46,0.002,H2_polar_hydrophobic
121,0.002,L2_polar_hydrophobic
68,0.002,H3_polar_polar
146,0.002,L3_polar_hydrophobic
126,0.002,L2_aromatic_hydrophobic
66,0.002,H2_special_hydrophobic
119,0.002,L2_polar_aromatic
31,0.002,H1_charged_hydrophobic
116,0.002,L1_special_hydrophobic
19,0.002,H1_polar_aromatic
109,0.002,L1_hydrophobic_aromatic
91,0.002,H3_special_hydrophobic
35,0.001,H1_hydrophobic_charged
140,0.001,L2_special_charged
158,0.001,L3_hydrophobic_polar
87,0.001,H3_hydrophobic_special
72,0.001,H3_polar_special
159,0.001,L3_hydrophobic_aromatic
157,0.001,L3_charged_special
61,0.001,H2_hydrophobic_hydrophobic
34,0.001,H1_hydrophobic_aromatic
47,0.001,H2_polar_special
127,0.001,L2_aromatic_special
57,0.001,H2_charged_special
29,0.001,H1_charged_aromatic
104,0.001,L1_charged_aromatic
32,0.001,H1_charged_special
164,0.001,L3_special_aromatic
103,0.001,L1_charged_polar
114,0.001,L1_special_aromatic
40,0.001,H1_special_charged
161,0.001,L3_hydrophobic_hydrophobic
36,0.001,H1_hydrophobic_hydrophobic
112,0.0,L1_hydrophobic_special
38,0.0,H1_special_polar
41,0.0,H1_special_hydrophobic
129,0.0,L2_charged_aromatic
67,0.0,H2_special_special
33,0.0,H1_hydrophobic_polar
122,0.0,L2_polar_special
39,0.0,H1_special_aromatic
162,0.0,L3_hydrophobic_special
167,0.0,L3_special_special
133,0.0,L2_hydrophobic_polar
107,0.0,L1_charged_special
166,0.0,L3_special_hydrophobic
62,0.0,H2_hydrophobic_special
131,0.0,L2_charged_hydrophobic
135,0.0,L2_hydrophobic_charged
132,0.0,L2_charged_special
37,0.0,H1_hydrophobic_special
4,0.0,crossterm_interface_energy
134,0.0,L2_hydrophobic_aromatic
136,0.0,L2_hydrophobic_hydrophobic
117,0.0,L1_special_special
137,0.0,L2_hydrophobic_special
139,0.0,L2_special_aromatic
141,0.0,L2_special_hydrophobic
142,0.0,L2_special_special
42,0.0,H1_special_special
138,0.0,L2_special_polar
