,importance,feature
107,0.027,L2_aromatic_charged
55,0.026,H3_aromatic_polar
62,0.022,H3_charged_charged
136,0.021,L3_charged_aromatic
142,0.021,L3_hydrophobic_charged
58,0.021,H3_aromatic_hydrophobic
35,0.019,H2_charged_polar
131,0.018,L3_aromatic_aromatic
30,0.017,H2_aromatic_polar
72,0.016,H3_special_charged
66,0.016,H3_hydrophobic_aromatic
2,0.016,H1_polar_charged
102,0.015,L2_polar_charged
7,0.015,H1_aromatic_charged
78,0.015,L1_polar_hydrophobic
61,0.014,H3_charged_aromatic
83,0.014,L1_aromatic_hydrophobic
125,0.013,L3_polar_polar
60,0.013,H3_charged_polar
67,0.013,H3_hydrophobic_charged
81,0.013,L1_aromatic_aromatic
127,0.013,L3_polar_charged
27,0.012,H2_polar_charged
42,0.012,H2_hydrophobic_charged
3,0.012,H1_polar_hydrophobic
106,0.012,L2_aromatic_aromatic
76,0.012,L1_polar_aromatic
64,0.012,H3_charged_special
51,0.012,H3_polar_aromatic
34,0.012,H2_aromatic_special
97,0.011,L1_special_charged
10,0.011,H1_charged_polar
9,0.011,H1_aromatic_special
82,0.01,L1_aromatic_charged
93,0.01,L1_hydrophobic_hydrophobic
71,0.01,H3_special_aromatic
126,0.01,L3_polar_aromatic
45,0.01,H2_special_polar
56,0.01,H3_aromatic_aromatic
6,0.01,H1_aromatic_aromatic
33,0.009,H2_aromatic_hydrophobic
130,0.009,L3_aromatic_polar
100,0.009,L2_polar_polar
40,0.009,H2_hydrophobic_polar
88,0.009,L1_charged_hydrophobic
37,0.009,H2_charged_charged
52,0.009,H3_polar_charged
137,0.008,L3_charged_charged
105,0.008,L2_aromatic_polar
63,0.008,H3_charged_hydrophobic
59,0.008,H3_aromatic_special
98,0.008,L1_special_hydrophobic
53,0.008,H3_polar_hydrophobic
92,0.008,L1_hydrophobic_charged
32,0.008,H2_aromatic_charged
90,0.008,L1_hydrophobic_polar
26,0.008,H2_polar_aromatic
135,0.008,L3_charged_polar
38,0.008,H2_charged_hydrophobic
41,0.008,H2_hydrophobic_aromatic
132,0.008,L3_aromatic_charged
5,0.007,H1_aromatic_polar
101,0.007,L2_polar_aromatic
68,0.007,H3_hydrophobic_hydrophobic
57,0.007,H3_aromatic_charged
80,0.007,L1_aromatic_polar
87,0.007,L1_charged_charged
54,0.007,H3_polar_special
25,0.007,H2_polar_polar
77,0.006,L1_polar_charged
31,0.006,H2_aromatic_aromatic
122,0.006,L2_special_charged
112,0.006,L2_charged_charged
133,0.006,L3_aromatic_hydrophobic
47,0.006,H2_special_charged
147,0.006,L3_special_charged
79,0.006,L1_polar_special
95,0.006,L1_special_polar
36,0.005,H2_charged_aromatic
48,0.005,H2_special_hydrophobic
70,0.005,H3_special_polar
138,0.005,L3_charged_hydrophobic
65,0.005,H3_hydrophobic_polar
46,0.005,H2_special_aromatic
13,0.005,H1_charged_hydrophobic
73,0.005,H3_special_hydrophobic
75,0.005,L1_polar_polar
8,0.005,H1_aromatic_hydrophobic
4,0.005,H1_polar_special
28,0.004,H2_polar_hydrophobic
12,0.004,H1_charged_charged
84,0.004,L1_aromatic_special
17,0.004,H1_hydrophobic_charged
22,0.004,H1_special_charged
110,0.004,L2_charged_polar
50,0.004,H3_polar_polar
86,0.004,L1_charged_aromatic
85,0.003,L1_charged_polar
1,0.003,H1_polar_aromatic
0,0.003,H1_polar_polar
14,0.003,H1_charged_special
108,0.003,L2_aromatic_hydrophobic
94,0.003,L1_hydrophobic_special
29,0.003,H2_polar_special
91,0.002,L1_hydrophobic_aromatic
18,0.002,H1_hydrophobic_hydrophobic
129,0.002,L3_polar_special
39,0.002,H2_charged_special
145,0.002,L3_special_polar
69,0.002,H3_hydrophobic_special
89,0.002,L1_charged_special
44,0.002,H2_hydrophobic_special
140,0.002,L3_hydrophobic_polar
128,0.002,L3_polar_hydrophobic
134,0.002,L3_aromatic_special
11,0.002,H1_charged_aromatic
146,0.001,L3_special_aromatic
23,0.001,H1_special_hydrophobic
109,0.001,L2_aromatic_special
141,0.001,L3_hydrophobic_aromatic
20,0.001,H1_special_polar
16,0.001,H1_hydrophobic_aromatic
139,0.001,L3_charged_special
74,0.001,H3_special_special
21,0.001,H1_special_aromatic
43,0.001,H2_hydrophobic_hydrophobic
103,0.0,L2_polar_hydrophobic
143,0.0,L3_hydrophobic_hydrophobic
114,0.0,L2_charged_special
111,0.0,L2_charged_aromatic
148,0.0,L3_special_hydrophobic
49,0.0,H2_special_special
113,0.0,L2_charged_hydrophobic
144,0.0,L3_hydrophobic_special
99,0.0,L1_special_special
15,0.0,H1_hydrophobic_polar
96,0.0,L1_special_aromatic
19,0.0,H1_hydrophobic_special
24,0.0,H1_special_special
124,0.0,L2_special_special
123,0.0,L2_special_hydrophobic
121,0.0,L2_special_aromatic
120,0.0,L2_special_polar
119,0.0,L2_hydrophobic_special
118,0.0,L2_hydrophobic_hydrophobic
117,0.0,L2_hydrophobic_charged
116,0.0,L2_hydrophobic_aromatic
115,0.0,L2_hydrophobic_polar
104,0.0,L2_polar_special
149,0.0,L3_special_special
