,importance,feature
24,0.126,avg_epitope_AIF
19,0.062,L1_avg_epitope_AIF
17,0.061,H3_avg_epitope_AIF
15,0.045,H2_avg_epitope_AIF
18,0.04,L1_avg_AIF
13,0.04,H1_avg_epitope_AIF
0,0.039,H1_total_AIF
11,0.038,L3_total_epitope_AIF
6,0.038,L1_total_AIF
10,0.037,L3_total_AIF
8,0.035,L2_total_AIF
14,0.034,H2_avg_AIF
23,0.032,L3_avg_epitope_AIF
16,0.032,H3_avg_AIF
7,0.032,L1_total_epitope_AIF
9,0.031,L2_total_epitope_AIF
4,0.031,H3_total_AIF
3,0.03,H2_total_epitope_AIF
21,0.03,L2_avg_epitope_AIF
22,0.029,L3_avg_AIF
20,0.028,L2_avg_AIF
1,0.027,H1_total_epitope_AIF
12,0.027,H1_avg_AIF
5,0.026,H3_total_epitope_AIF
2,0.026,H2_total_AIF
25,0.024,avg_paratope_AIF
