,importance,feature
664,0.025,L1_avg_epitope_SIN
669,0.024,avg_epitope_SIN
639,0.017,L2_avg_dMaSIF
662,0.017,H3_avg_epitope_SIN
686,0.016,H2_avg_epitope_AIF
540,0.015,L1_polar_hydrophobic
695,0.013,avg_epitope_AIF
604,0.013,L3_hydrophobic_charged
266,0.013,QH
631,0.012,H1_avg_dMaSIF
651,0.011,L1_total_SIN
228,0.011,NK
678,0.01,L1_total_epitope_AIF
524,0.01,H3_charged_charged
284,0.01,RF
469,0.01,H1_aromatic_charged
53,0.009,DQ
390,0.009,YM
354,0.009,VR
362,0.009,WD
365,0.009,WG
649,0.008,H3_total_SIN
288,0.008,RK
376,0.008,WT
667,0.008,L3_avg_SIN
283,0.007,RE
632,0.007,H1_avg_epitope_dMaSIF
587,0.007,L3_polar_polar
500,0.007,H2_charged_hydrophobic
403,0.007,interaction_total_energy
387,0.007,YI
598,0.007,L3_charged_aromatic
370,0.007,WM
375,0.007,WS
514,0.006,H3_polar_charged
410,0.006,h2_interaction_energy
103,0.006,GE
635,0.006,H3_avg_dMaSIF
650,0.006,H3_total_epitope_SIN
384,0.006,YF
143,0.006,IE
534,0.006,H3_special_charged
641,0.006,L3_avg_dMaSIF
392,0.006,YP
630,0.006,L3_total_epitope_dMaSIF
550,0.005,L1_charged_hydrophobic
654,0.005,L2_total_epitope_SIN
496,0.005,H2_aromatic_special
623,0.005,H3_total_dMaSIF
409,0.005,h1_interaction_energy
670,0.005,avg_paratope_SIN
688,0.005,H3_avg_epitope_AIF
229,0.005,NL
118,0.005,GW
58,0.005,DW
171,0.005,KN
646,0.005,H1_total_epitope_SIN
386,0.005,YH
88,0.005,FK
622,0.005,H2_total_epitope_dMaSIF
379,0.005,WY
681,0.004,L3_total_AIF
517,0.004,H3_aromatic_polar
83,0.004,FE
291,0.004,RN
525,0.004,H3_charged_hydrophobic
637,0.004,L1_avg_dMaSIF
694,0.004,L3_avg_epitope_AIF
545,0.004,L1_aromatic_hydrophobic
643,0.004,avg_epitope_dMaSIF
492,0.004,H2_aromatic_polar
124,0.004,HF
465,0.004,H1_polar_hydrophobic
15,0.004,AS
520,0.004,H3_aromatic_hydrophobic
274,0.004,QR
385,0.004,YG
507,0.004,H2_special_polar
464,0.004,H1_polar_charged
655,0.004,L3_total_SIN
555,0.004,L1_hydrophobic_hydrophobic
634,0.004,H2_avg_epitope_dMaSIF
411,0.004,h3_interaction_energy
389,0.004,YL
671,0.004,H1_total_AIF
672,0.004,H1_total_epitope_AIF
660,0.004,H2_avg_epitope_SIN
569,0.004,L2_aromatic_charged
407,0.003,interface_dg
619,0.003,H1_total_dMaSIF
296,0.003,RT
680,0.003,L2_total_epitope_AIF
626,0.003,L1_total_epitope_dMaSIF
554,0.003,L1_hydrophobic_charged
402,0.003,epitope_total_energy
645,0.003,H1_total_SIN
293,0.003,RQ
648,0.003,H2_total_epitope_SIN
568,0.003,L2_aromatic_aromatic
679,0.003,L2_total_AIF
394,0.003,YR
513,0.003,H3_polar_aromatic
665,0.003,L2_avg_SIN
663,0.003,L1_avg_SIN
640,0.003,L2_avg_epitope_dMaSIF
405,0.003,sc_total
489,0.003,H2_polar_charged
624,0.003,H3_total_epitope_dMaSIF
94,0.003,FR
518,0.003,H3_aromatic_aromatic
413,0.003,l2_interaction_energy
150,0.003,IM
633,0.003,H2_avg_dMaSIF
617,0.003,L3_multivalent
396,0.003,YT
620,0.003,H1_total_epitope_dMaSIF
642,0.003,L3_avg_epitope_dMaSIF
656,0.003,L3_total_epitope_SIN
677,0.003,L1_total_AIF
653,0.003,L2_total_SIN
537,0.003,L1_polar_polar
559,0.003,L1_special_charged
414,0.003,l3_interaction_energy
627,0.003,L2_total_dMaSIF
562,0.003,L2_polar_polar
294,0.003,RR
523,0.003,H3_charged_aromatic
499,0.003,H2_charged_charged
401,0.003,epitope_sasa
305,0.003,SG
529,0.003,H3_hydrophobic_charged
636,0.003,H3_avg_epitope_dMaSIF
666,0.003,L2_avg_epitope_SIN
406,0.002,dSASA
693,0.002,L3_avg_AIF
560,0.002,L1_special_hydrophobic
621,0.002,H2_total_dMaSIF
239,0.002,NY
299,0.002,RY
272,0.002,QP
331,0.002,TN
538,0.002,L1_polar_aromatic
226,0.002,NH
522,0.002,H3_charged_polar
599,0.002,L3_charged_charged
508,0.002,H2_special_aromatic
54,0.002,DR
474,0.002,H1_charged_charged
521,0.002,H3_aromatic_special
628,0.002,L2_total_epitope_dMaSIF
159,0.002,IY
323,0.002,TE
690,0.002,L1_avg_epitope_AIF
488,0.002,H2_polar_aromatic
597,0.002,L3_charged_polar
144,0.002,IF
682,0.002,L3_total_epitope_AIF
138,0.002,HW
673,0.002,H2_total_AIF
324,0.002,TF
48,0.002,DK
674,0.002,H2_total_epitope_AIF
452,0.002,"L3-10,11-A"
393,0.002,YQ
592,0.002,L3_aromatic_polar
315,0.002,SS
194,0.002,LR
519,0.002,H3_aromatic_charged
652,0.002,L1_total_epitope_SIN
255,0.002,PS
289,0.002,RL
74,0.002,ER
388,0.002,YK
9,0.002,AL
515,0.002,H3_polar_hydrophobic
629,0.002,L3_total_dMaSIF
235,0.002,NS
373,0.002,WQ
248,0.002,PK
308,0.002,SK
495,0.002,H2_aromatic_hydrophobic
412,0.002,l1_interaction_energy
395,0.002,YS
625,0.002,L1_total_dMaSIF
692,0.002,L2_avg_epitope_AIF
136,0.002,HT
369,0.002,WL
382,0.002,YD
661,0.002,H3_avg_SIN
683,0.001,H1_avg_AIF
503,0.001,H2_hydrophobic_aromatic
399,0.001,YY
603,0.001,L3_hydrophobic_aromatic
463,0.001,H1_polar_aromatic
658,0.001,H1_avg_epitope_SIN
638,0.001,L1_avg_epitope_dMaSIF
408,0.001,interface_num_res
400,0.001,epitope_num_res
462,0.001,H1_polar_polar
504,0.001,H2_hydrophobic_charged
108,0.001,GK
684,0.001,H1_avg_epitope_AIF
302,0.001,SD
691,0.001,L2_avg_AIF
328,0.001,TK
588,0.001,L3_polar_aromatic
259,0.001,PY
298,0.001,RW
190,0.001,LM
134,0.001,HR
295,0.001,RS
43,0.001,DE
615,0.001,L1_multivalent
668,0.001,L3_avg_epitope_SIN
494,0.001,H2_aromatic_charged
657,0.001,H1_avg_SIN
51,0.001,DN
526,0.001,H3_charged_special
647,0.001,H2_total_SIN
334,0.001,TR
329,0.001,TL
644,0.001,avg_paratope_dMaSIF
95,0.001,FS
471,0.001,H1_aromatic_special
557,0.001,L1_special_polar
659,0.001,H2_avg_SIN
304,0.001,SF
687,0.001,H3_avg_AIF
420,0.001,H3_length
45,0.001,DG
685,0.001,H2_avg_AIF
397,0.001,YV
542,0.001,L1_aromatic_polar
154,0.001,IR
314,0.001,SR
539,0.001,L1_polar_charged
501,0.001,H2_charged_special
383,0.001,YE
292,0.001,RP
114,0.001,GR
188,0.001,LK
543,0.001,L1_aromatic_aromatic
333,0.001,TQ
280,0.001,RA
675,0.001,H3_total_AIF
309,0.001,SL
498,0.001,H2_charged_aromatic
168,0.001,KK
104,0.001,GF
312,0.001,SP
278,0.001,QW
99,0.001,FY
689,0.001,L1_avg_AIF
139,0.001,HY
310,0.001,SM
594,0.001,L3_aromatic_charged
480,0.001,H1_hydrophobic_hydrophobic
66,0.001,EH
113,0.001,GQ
377,0.001,WV
533,0.001,H3_special_aromatic
125,0.001,HG
364,0.001,WF
251,0.001,PN
106,0.001,GH
367,0.001,WI
306,0.001,SH
184,0.001,LF
161,0.001,KC
676,0.001,H3_total_epitope_AIF
254,0.001,PR
593,0.001,L3_aromatic_aromatic
164,0.001,KF
183,0.001,LE
398,0.001,YW
222,0.001,ND
75,0.001,ES
79,0.001,EY
149,0.001,IL
42,0.001,DD
276,0.001,QT
111,0.001,GN
467,0.001,H1_aromatic_polar
110,0.001,GM
303,0.001,SE
169,0.001,KL
174,0.001,KR
544,0.001,L1_aromatic_charged
80,0.001,FA
84,0.001,FF
148,0.001,IK
316,0.001,ST
348,0.001,VK
541,0.001,L1_polar_special
178,0.001,KW
232,0.001,NP
237,0.001,NV
532,0.001,H3_special_polar
567,0.001,L2_aromatic_polar
287,0.001,RI
231,0.001,NN
227,0.001,NI
343,0.0,VE
238,0.0,NW
546,0.0,L1_aromatic_special
3,0.0,AE
335,0.0,TS
391,0.0,YN
696,0.0,avg_paratope_AIF
151,0.0,IN
574,0.0,L2_charged_charged
589,0.0,L3_polar_charged
